league,journey,season,date,hours,referee,stadium,team1,team2,action_minute,action_score,action_description,action_type,action_team,link
Ligue 1,Journée 1,2023/2024,11/08/2023,21:00,Benoît Bastien,Stade de Nice,Nice,Lille,18,1:0,Gaëtan Laborde - Passe décisive : Terem Moffi,Goal,Nice,https://fbref.com/fr/matchs/ff59d311/Nice-Lille-11-Aout-2023-Ligue-1
Ligue 1,Journée 1,2023/2024,11/08/2023,21:00,Benoît Bastien,Stade de Nice,Nice,Lille,35,1:0,Youcef Atal,Yellow Card,Nice,https://fbref.com/fr/matchs/ff59d311/Nice-Lille-11-Aout-2023-Ligue-1
Ligue 1,Journée 1,2023/2024,11/08/2023,21:00,Benoît Bastien,Stade de Nice,Nice,Lille,38,1:0,Hákon Arnar Haraldsson,Yellow Card,Lille,https://fbref.com/fr/matchs/ff59d311/Nice-Lille-11-Aout-2023-Ligue-1
Ligue 1,Journée 1,2023/2024,11/08/2023,21:00,Benoît Bastien,Stade de Nice,Nice,Lille,46,1:0,Jordan Lotomba pour Youcef Atal,Substitute,Nice,https://fbref.com/fr/matchs/ff59d311/Nice-Lille-11-Aout-2023-Ligue-1
Ligue 1,Journée 1,2023/2024,11/08/2023,21:00,Benoît Bastien,Stade de Nice,Nice,Lille,47,1:0,Gaëtan Laborde,Yellow Card,Nice,https://fbref.com/fr/matchs/ff59d311/Nice-Lille-11-Aout-2023-Ligue-1
Ligue 1,Journée 1,2023/2024,11/08/2023,21:00,Benoît Bastien,Stade de Nice,Nice,Lille,48,1:0,Tiago Santos,Yellow Card,Lille,https://fbref.com/fr/matchs/ff59d311/Nice-Lille-11-Aout-2023-Ligue-1
Ligue 1,Journée 1,2023/2024,11/08/2023,21:00,Benoît Bastien,Stade de Nice,Nice,Lille,55,1:0,Khéphren Thuram,Yellow Card,Nice,https://fbref.com/fr/matchs/ff59d311/Nice-Lille-11-Aout-2023-Ligue-1
Ligue 1,Journée 1,2023/2024,11/08/2023,21:00,Benoît Bastien,Stade de Nice,Nice,Lille,57,1:0,Sofiane Diop pour Jeremie Boga,Substitute,Nice,https://fbref.com/fr/matchs/ff59d311/Nice-Lille-11-Aout-2023-Ligue-1
Ligue 1,Journée 1,2023/2024,11/08/2023,21:00,Benoît Bastien,Stade de Nice,Nice,Lille,57,1:0,Pablo Rosario pour Khéphren Thuram,Substitute,Nice,https://fbref.com/fr/matchs/ff59d311/Nice-Lille-11-Aout-2023-Ligue-1
Ligue 1,Journée 1,2023/2024,11/08/2023,21:00,Benoît Bastien,Stade de Nice,Nice,Lille,58,1:0,Evann Guessand pour Gaëtan Laborde,Substitute,Nice,https://fbref.com/fr/matchs/ff59d311/Nice-Lille-11-Aout-2023-Ligue-1
