league,journey,season,date,hours,referee,stadium,team1,team2,name,shirtnumber,nationality,position,age,minutes,goals,assists_x,pens_made,pens_att,shots,shots_on_target,cards_yellow_x,cards_red_x,touches_x,tackles_x,interceptions_x,blocks_x,xg,npxg,xg_assist_x,sca,gca,passes_completed_x,passes_x,passes_pct_x,progressive_passes_x,carries_x,progressive_carries_x,take_ons_x,take_ons_won_x,passes_completed_y,passes_y,passes_pct_y,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists_y,xg_assist_y,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_y,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses_x,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,tackles_y,tackles_won_x,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks_y,blocked_shots,blocked_passes,interceptions_y,tackles_interceptions,clearances,errors,touches_y,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_y,take_ons_won_y,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_y,carries_distance,carries_progressive_distance,progressive_carries_y,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses_y,interceptions,tackles_won_y,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,link
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Gaëtan Laborde,24,FRA,FW,30-336,71,0,0,0,0,6,3,0,0,39,0,0,0,0.5,0.5,0.0,3,0,16,25,64.0,2,21,0,2,1,16,25,64.0,202,9,11,14,78.6,5,7,71.4,0,1,0.0,0,0.0,0.0,0,1,0,0,2,25,21,3,0,0,0,4,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,39,0,0,12,28,15,39,2,1,50.0,1,50.0,21,41,15,0,0,0,5,0,24,9,0,0,0,1,0,0,4,0,0,0,0,0,1,3,0,100.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,   Terem Moffi,9,NGA,FW,25-314,19,0,0,0,0,1,1,0,0,3,0,0,0,0.3,0.3,0.0,1,0,1,2,50.0,0,1,0,0,0,1,2,50.0,8,8,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,3,1,3,0,0,,0,,1,12,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Jeremie Boga,7,CIV,"AM,LW",28-091,90,0,0,0,0,2,0,0,0,61,0,0,1,0.2,0.2,0.4,5,0,42,50,84.0,6,35,8,4,1,42,50,84.0,585,114,26,29,89.7,12,12,100.0,2,2,100.0,0,0.4,0.5,2,0,4,1,6,50,50,0,0,0,0,1,0,0,0,0,0,42,0,4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,61,1,2,16,43,2,61,4,1,25.0,2,50.0,35,315,158,8,6,0,3,2,54,11,0,0,0,0,4,0,1,0,0,0,0,0,2,1,1,50.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Mohamed Ali Cho,25,FRA,AM,21-075,61,0,0,0,0,0,0,0,0,38,0,0,1,0.0,0.0,0.0,3,0,22,30,73.3,6,29,6,4,1,22,30,73.3,381,78,14,16,87.5,4,6,66.7,4,6,66.7,0,0.0,0.1,1,3,3,0,6,30,30,0,0,0,1,5,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,38,0,1,15,22,1,38,4,1,25.0,2,50.0,29,215,106,6,4,1,2,1,32,8,0,0,0,0,1,0,5,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,   Evann Guessand,29,CIV,RW,23-277,29,0,0,0,0,0,0,0,0,27,0,0,1,0.0,0.0,0.0,0,0,15,24,62.5,4,17,1,2,0,15,24,62.5,141,69,10,16,62.5,2,4,50.0,0,0,,0,0.0,0.0,0,4,0,0,4,24,24,0,0,0,0,3,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,27,0,0,7,20,3,27,2,0,0.0,2,100.0,17,57,24,1,0,1,0,0,23,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Pablo Rosario,8,NED,CM,28-087,62,0,0,0,0,0,0,0,0,45,2,0,1,0.0,0.0,0.0,1,0,32,39,82.1,10,22,0,0,0,32,39,82.1,560,216,18,22,81.8,10,12,83.3,4,4,100.0,0,0.0,0.0,1,5,1,0,10,39,39,0,0,0,0,1,0,0,0,0,0,32,0,1,2,1,0,2,0,0,0,,0,1,0,1,0,2,0,0,45,0,1,37,7,1,45,0,0,,0,,22,85,25,0,1,0,1,2,35,2,0,0,0,0,1,0,1,0,1,0,0,0,4,2,3,40.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,   Morgan Sanson,11,FRA,DM,30-229,28,0,0,0,0,0,0,0,0,28,3,0,0,0.0,0.0,0.0,1,0,15,23,65.2,2,15,2,1,0,15,23,65.2,273,73,7,13,53.8,5,6,83.3,2,3,66.7,0,0.0,0.0,0,3,0,0,2,23,22,1,1,0,1,1,0,0,0,0,0,15,0,0,3,2,1,2,0,0,0,,0,0,0,0,0,3,0,0,28,0,2,16,10,1,28,1,0,0.0,1,100.0,15,72,50,2,1,0,2,0,19,2,0,0,0,1,0,0,1,0,2,0,0,0,2,1,0,100.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Hicham Boudaoui,6,ALG,"CM,DM",25-193,90,0,1,0,0,0,0,0,0,67,3,0,1,0.0,0.0,0.6,5,1,47,60,78.3,6,38,5,1,0,47,60,78.3,682,199,25,29,86.2,17,20,85.0,2,6,33.3,1,0.6,0.4,3,3,3,1,6,60,58,2,2,1,1,4,0,0,0,0,0,47,0,1,3,3,1,1,1,0,0,,0,1,0,1,0,3,0,0,67,1,4,30,34,2,67,1,0,0.0,1,100.0,38,300,181,5,5,0,1,0,53,4,0,0,0,1,1,0,4,0,3,0,0,0,1,0,2,0.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Ali Abdi,2,TUN,"WB,LB",31-105,82,1,0,0,0,5,3,0,0,89,5,3,0,0.7,0.7,0.2,5,0,55,70,78.6,4,45,1,2,0,55,70,78.6,857,233,31,35,88.6,20,23,87.0,4,10,40.0,0,0.2,0.1,2,3,2,1,4,70,60,10,0,0,0,9,10,0,0,0,0,55,0,2,5,4,0,2,3,2,2,100.0,0,0,0,0,3,8,1,0,89,0,7,30,52,5,89,2,0,0.0,2,100.0,45,170,50,1,1,0,3,0,52,15,0,0,0,0,1,1,9,3,4,0,0,0,5,5,1,83.3,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,   Tom Louchet,20,FRA,LB,21-335,8,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,7,8,87.5,1,4,1,0,0,7,8,87.5,79,24,6,7,85.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,4,4,1,8,0,0,,0,,4,14,11,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,,,,,,,,,,,,,,,,,,,,,
