league,journey,season,date,hours,referee,stadium,team1,team2,minutes,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,link
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,1,Matthis Abline, Nantes,0.08,0.04,Sauvée,21,Pied droit,,Matthis Abline,Interception,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,4,Ali Abdi, Nice,0.03,0.18,Sauvée,16,Pied gauche,,Mohamed Ali Cho,Passe (sur action de jeu),Mohamed Ali Cho,Passe (sur action de jeu),https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,10,Matthis Abline, Nantes,0.18,0.00,Non cadrée,6,Pied droit,Reprise de volée,Douglas,Passe (sur action de jeu),Meschak Elia,Passe (sur action de jeu),https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,11,Douglas, Nantes,0.05,0.04,But,26,Pied gauche,,Moses Simon,Passe (sur action de jeu),Matthis Abline,Passe (sur action de jeu),https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,13,Gaëtan Laborde, Nice,0.08,0.11,Sauvée,10,Tête,,Ali Abdi,Passe (sur action de jeu),Moïse Bombito,Interception,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,14,Ali Abdi, Nice,0.53,0.30,But,14,Pied gauche,,Hicham Boudaoui,Passe (sur action de jeu),Youssouf Ndayishimiye,Passe (sur action de jeu),https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,20,Gaëtan Laborde, Nice,0.08,0.59,Sauvée,15,Pied gauche,,Jeremie Boga,Passe (sur action de jeu),Gaëtan Laborde,Passe (sur action de jeu),https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,21,Gaëtan Laborde, Nice,0.12,0.10,Sauvée,14,Pied gauche,,Ali Abdi,Passe (sur action de jeu),Youssouf Ndayishimiye,Passe (sur action de jeu),https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,25,Jeremie Boga, Nice,0.02,0.00,Montants,29,Pied droit,,Pablo Rosario,Passe (sur action de jeu),Jonathan Clauss,Passe (sur action de jeu),https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,26,Moïse Bombito, Nice,0.02,0.00,Bloquée,28,Pied droit,,Gaëtan Laborde,Passe (sur action de jeu),Jeremie Boga,Passe (sur action de jeu),https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
