link,num_lien,pays,ligue,annee,equipes
/matches/1820000/live/pologne-i-liga-2024-2025-gks-tychy-znicz-pruszkow,1820000,pologne,i-liga,2024-2025,gks-tychy-znicz-pruszkow
/matches/1820001/live/pologne-i-liga-2024-2025-wisla-plock-wisla-krakow,1820001,pologne,i-liga,2024-2025,wisla-plock-wisla-krakow
/matches/1820002/live/pologne-i-liga-2024-2025-termalica-nieciecza-arka-gdynia,1820002,pologne,i-liga,2024-2025,termalica-nieciecza-arka-gdynia
/matches/1820003/live/pologne-i-liga-2024-2025-kotwica-kolobrzeg-znicz-pruszkow,1820003,pologne,i-liga,2024-2025,kotwica-kolobrzeg-znicz-pruszkow
/matches/1820005/live/pologne-i-liga-2024-2025-miedz-legnica-wisla-krakow,1820005,pologne,i-liga,2024-2025,miedz-legnica-wisla-krakow
/matches/1820007/live/pologne-i-liga-2024-2025-gornik-leczna-arka-gdynia,1820007,pologne,i-liga,2024-2025,gornik-leczna-arka-gdynia
/matches/1820009/live/pologne-i-liga-2024-2025-gornik-leczna-ruch-chorzow,1820009,pologne,i-liga,2024-2025,gornik-leczna-ruch-chorzow
/matches/1820011/live/pologne-i-liga-2024-2025-arka-gdynia-miedz-legnica,1820011,pologne,i-liga,2024-2025,arka-gdynia-miedz-legnica
/matches/1820013/live/pologne-i-liga-2024-2025-wisla-krakow-kotwica-kolobrzeg,1820013,pologne,i-liga,2024-2025,wisla-krakow-kotwica-kolobrzeg
/matches/1820015/live/pologne-i-liga-2024-2025-pogon-siedlce-stal-stalowa-wola,1820015,pologne,i-liga,2024-2025,pogon-siedlce-stal-stalowa-wola
/matches/1820017/live/pologne-i-liga-2024-2025-stal-rzeszow-chrobry-glogow,1820017,pologne,i-liga,2024-2025,stal-rzeszow-chrobry-glogow
/matches/1820019/live/pologne-i-liga-2024-2025-stal-stalowa-wola-odra-opole,1820019,pologne,i-liga,2024-2025,stal-stalowa-wola-odra-opole
/matches/1820021/live/pologne-i-liga-2024-2025-gks-tychy-pogon-siedlce,1820021,pologne,i-liga,2024-2025,gks-tychy-pogon-siedlce
/matches/1820023/live/pologne-i-liga-2024-2025-wisla-plock-termalica-nieciecza,1820023,pologne,i-liga,2024-2025,wisla-plock-termalica-nieciecza
/matches/1820025/live/pologne-i-liga-2024-2025-ruch-chorzow-wisla-plock,1820025,pologne,i-liga,2024-2025,ruch-chorzow-wisla-plock
/matches/1820027/live/pologne-i-liga-2024-2025-termalica-nieciecza-gks-tychy,1820027,pologne,i-liga,2024-2025,termalica-nieciecza-gks-tychy
/matches/1820044/live/pologne-i-liga-2024-2025-ruch-chorzow-wisla-krakow,1820044,pologne,i-liga,2024-2025,ruch-chorzow-wisla-krakow
/matches/1820045/live/pologne-i-liga-2024-2025-wisla-krakow-znicz-pruszkow,1820045,pologne,i-liga,2024-2025,wisla-krakow-znicz-pruszkow
/matches/1820046/live/pologne-i-liga-2024-2025-arka-gdynia-polonia-warszawa,1820046,pologne,i-liga,2024-2025,arka-gdynia-polonia-warszawa
/matches/1820047/live/pologne-i-liga-2024-2025-gornik-leczna-lks-lodz,1820047,pologne,i-liga,2024-2025,gornik-leczna-lks-lodz
/matches/1820048/live/pologne-i-liga-2024-2025-miedz-legnica-stal-rzeszow,1820048,pologne,i-liga,2024-2025,miedz-legnica-stal-rzeszow
/matches/1820049/live/pologne-i-liga-2024-2025-kotwica-kolobrzeg-stal-stalowa-wola,1820049,pologne,i-liga,2024-2025,kotwica-kolobrzeg-stal-stalowa-wola
/matches/1820050/live/pologne-i-liga-2024-2025-warta-poznan-gks-tychy,1820050,pologne,i-liga,2024-2025,warta-poznan-gks-tychy
/matches/1820051/live/pologne-i-liga-2024-2025-chrobry-glogow-wisla-plock,1820051,pologne,i-liga,2024-2025,chrobry-glogow-wisla-plock
/matches/1820052/live/pologne-i-liga-2024-2025-odra-opole-termalica-nieciecza,1820052,pologne,i-liga,2024-2025,odra-opole-termalica-nieciecza
/matches/1820053/live/pologne-i-liga-2024-2025-pogon-siedlce-ruch-chorzow,1820053,pologne,i-liga,2024-2025,pogon-siedlce-ruch-chorzow
/matches/1820054/live/pologne-i-liga-2024-2025-pogon-siedlce-odra-opole,1820054,pologne,i-liga,2024-2025,pogon-siedlce-odra-opole
/matches/1820055/live/pologne-i-liga-2024-2025-termalica-nieciecza-chrobry-glogow,1820055,pologne,i-liga,2024-2025,termalica-nieciecza-chrobry-glogow
/matches/1820056/live/pologne-i-liga-2024-2025-wisla-plock-warta-poznan,1820056,pologne,i-liga,2024-2025,wisla-plock-warta-poznan
/matches/1820057/live/pologne-i-liga-2024-2025-znicz-pruszkow-arka-gdynia,1820057,pologne,i-liga,2024-2025,znicz-pruszkow-arka-gdynia
/matches/1820058/live/pologne-i-liga-2024-2025-polonia-warszawa-gornik-leczna,1820058,pologne,i-liga,2024-2025,polonia-warszawa-gornik-leczna
/matches/1820059/live/pologne-i-liga-2024-2025-lks-lodz-miedz-legnica,1820059,pologne,i-liga,2024-2025,lks-lodz-miedz-legnica
/matches/1820060/live/pologne-i-liga-2024-2025-stal-rzeszow-kotwica-kolobrzeg,1820060,pologne,i-liga,2024-2025,stal-rzeszow-kotwica-kolobrzeg
/matches/1820061/live/pologne-i-liga-2024-2025-stal-stalowa-wola-warta-poznan,1820061,pologne,i-liga,2024-2025,stal-stalowa-wola-warta-poznan
/matches/1820062/live/pologne-i-liga-2024-2025-gks-tychy-chrobry-glogow,1820062,pologne,i-liga,2024-2025,gks-tychy-chrobry-glogow
/matches/1820063/live/pologne-i-liga-2024-2025-wisla-plock-odra-opole,1820063,pologne,i-liga,2024-2025,wisla-plock-odra-opole
/matches/1820064/live/pologne-i-liga-2024-2025-termalica-nieciecza-pogon-siedlce,1820064,pologne,i-liga,2024-2025,termalica-nieciecza-pogon-siedlce
/matches/1820065/live/pologne-i-liga-2024-2025-ruch-chorzow-termalica-nieciecza,1820065,pologne,i-liga,2024-2025,ruch-chorzow-termalica-nieciecza
/matches/1820066/live/pologne-i-liga-2024-2025-znicz-pruszkow-warta-poznan,1820066,pologne,i-liga,2024-2025,znicz-pruszkow-warta-poznan
