link,num_lien,league,annee,equipes
/matches/1830000/live/écosse-premiership-2024-2025-motherwell-ross-county,1830000,écosse-premiership,2024-2025,motherwell-ross-county
/matches/1830001/live/écosse-premiership-2024-2025-st-mirren-hibernian,1830001,écosse-premiership,2024-2025,st-mirren-hibernian
/matches/1830002/live/écosse-premiership-2024-2025-aberdeen-kilmarnock,1830002,écosse-premiership,2024-2025,aberdeen-kilmarnock
/matches/1830003/live/écosse-premiership-2024-2025-dundee-united-motherwell,1830003,écosse-premiership,2024-2025,dundee-united-motherwell
/matches/1830004/live/écosse-premiership-2024-2025-hibernian-celtic,1830004,écosse-premiership,2024-2025,hibernian-celtic
/matches/1830005/live/écosse-premiership-2024-2025-rangers-st-mirren,1830005,écosse-premiership,2024-2025,rangers-st-mirren
/matches/1830006/live/écosse-premiership-2024-2025-ross-county-aberdeen,1830006,écosse-premiership,2024-2025,ross-county-aberdeen
/matches/1830007/live/écosse-premiership-2024-2025-dundee-fc-rangers,1830007,écosse-premiership,2024-2025,dundee-fc-rangers
/matches/1830008/live/écosse-premiership-2024-2025-hibernian-st-johnstone,1830008,écosse-premiership,2024-2025,hibernian-st-johnstone
/matches/1830009/live/écosse-premiership-2024-2025-ross-county-dundee-united,1830009,écosse-premiership,2024-2025,ross-county-dundee-united
/matches/1830010/live/écosse-premiership-2024-2025-st-mirren-kilmarnock,1830010,écosse-premiership,2024-2025,st-mirren-kilmarnock
/matches/1830011/live/écosse-premiership-2024-2025-dundee-fc-st-mirren,1830011,écosse-premiership,2024-2025,dundee-fc-st-mirren
/matches/1830012/live/écosse-premiership-2024-2025-hearts-dundee-united,1830012,écosse-premiership,2024-2025,hearts-dundee-united
/matches/1830013/live/écosse-premiership-2024-2025-kilmarnock-motherwell,1830013,écosse-premiership,2024-2025,kilmarnock-motherwell
/matches/1830014/live/écosse-premiership-2024-2025-rangers-hibernian,1830014,écosse-premiership,2024-2025,rangers-hibernian
/matches/1830015/live/écosse-premiership-2024-2025-st-johnstone-celtic,1830015,écosse-premiership,2024-2025,st-johnstone-celtic
/matches/1830016/live/écosse-premiership-2024-2025-dundee-fc-kilmarnock,1830016,écosse-premiership,2024-2025,dundee-fc-kilmarnock
/matches/1830017/live/écosse-league-two-2024-2025-elgin-east-fife,1830017,écosse-league-two,2024-2025,elgin-east-fife
/matches/1830018/live/écosse-league-two-2024-2025-forfar-clyde,1830018,écosse-league-two,2024-2025,forfar-clyde
/matches/1830019/live/écosse-league-two-2024-2025-stranraer-spartans,1830019,écosse-league-two,2024-2025,stranraer-spartans
/matches/1830020/live/écosse-league-two-2024-2025-forfar-stranraer,1830020,écosse-league-two,2024-2025,forfar-stranraer
/matches/1830021/live/écosse-league-two-2024-2025-stirling-albion-spartans,1830021,écosse-league-two,2024-2025,stirling-albion-spartans
