,annee,pays,league,lien
0,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911395/live/france-ligue-1-2025-2026-nice-marseille
1,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911390/live/france-ligue-1-2025-2026-lens-strasbourg
2,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911400/live/france-ligue-1-2025-2026-rennes-monaco
3,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911398/live/france-ligue-1-2025-2026-paris-saint-germain-le-havre
4,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911385/live/france-ligue-1-2025-2026-auxerre-lyon
5,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911387/live/france-ligue-1-2025-2026-brest-metz
6,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911393/live/france-ligue-1-2025-2026-nantes-lorient
7,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911401/live/france-ligue-1-2025-2026-toulouse-angers
8,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911392/preview/france-ligue-1-2025-2026-lille-paris-fc
9,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911381/live/france-ligue-1-2025-2026-paris-fc-rennes
10,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911373/live/france-ligue-1-2025-2026-marseille-brest
11,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911367/live/france-ligue-1-2025-2026-le-havre-nantes
12,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911379/live/france-ligue-1-2025-2026-monaco-lens
13,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911369/live/france-ligue-1-2025-2026-lorient-toulouse
14,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911375/live/france-ligue-1-2025-2026-metz-nice
15,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911365/live/france-ligue-1-2025-2026-angers-auxerre
16,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911383/live/france-ligue-1-2025-2026-strasbourg-lille
17,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911371/live/france-ligue-1-2025-2026-lyon-paris-saint-germain
18,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911322/live/france-ligue-1-2025-2026-le-havre-brest
19,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911325/live/france-ligue-1-2025-2026-lorient-paris-saint-germain
20,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911331/live/france-ligue-1-2025-2026-metz-lens
21,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911337/live/france-ligue-1-2025-2026-nice-lille
22,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911340/live/france-ligue-1-2025-2026-paris-fc-lyon
23,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911342/live/france-ligue-1-2025-2026-strasbourg-auxerre
24,2025/2026,france,ligue 1,https://fr.whoscored.com/matches/1911345/live/france-ligue-1-2025-2026-toulouse-rennes
