league,link
france-ligue-1,https://fr.whoscored.com/regions/74/tournaments/22/france-ligue-1
angleterre-premier-league,https://fr.whoscored.com/regions/252/tournaments/2/angleterre-premier-league
espagne-laliga,https://fr.whoscored.com/regions/206/tournaments/4/espagne-laliga
allemagne-bundesliga,https://fr.whoscored.com/regions/81/tournaments/3/allemagne-bundesliga
italie-serie-a,https://fr.whoscored.com/regions/108/tournaments/5/italie-serie-a
europe-champions-league,https://fr.whoscored.com/regions/250/tournaments/12/europe-champions-league
europe-europa-league,https://fr.whoscored.com/regions/250/tournaments/30/europe-europa-league
portugal-liga-portugal,https://fr.whoscored.com/regions/177/tournaments/21/portugal-liga-portugal
pays-bas-eredivisie,https://fr.whoscored.com/regions/155/tournaments/13/pays-bas-eredivisie
angleterre-championship,https://fr.whoscored.com/regions/252/tournaments/7/angleterre-championship
usa-major-league-soccer,https://fr.whoscored.com/regions/233/tournaments/85/usa-major-league-soccer
brésil-brasileirão,https://fr.whoscored.com/regions/31/tournaments/95/brésil-brasileirão
turquie-super-lig,https://fr.whoscored.com/regions/225/tournaments/17/turquie-super-lig
belgique-jupiler-pro-league,https://fr.whoscored.com/regions/22/tournaments/18/belgique-jupiler-pro-league
international-european-championship,https://fr.whoscored.com/regions/247/tournaments/124/international-european-championship
allemagne-2-bundesliga,https://fr.whoscored.com/regions/81/tournaments/6/allemagne-2-bundesliga
angleterre-fa-cup,https://fr.whoscored.com/regions/252/tournaments/26/angleterre-fa-cup
russie-premier-league,https://fr.whoscored.com/regions/182/tournaments/77/russie-premier-league
écosse-premiership,https://fr.whoscored.com/regions/253/tournaments/20/écosse-premiership
angleterre-league-cup,https://fr.whoscored.com/regions/252/tournaments/29/angleterre-league-cup
angleterre-league-one,https://fr.whoscored.com/regions/252/tournaments/8/angleterre-league-one
angleterre-league-two,https://fr.whoscored.com/regions/252/tournaments/9/angleterre-league-two
angleterre-women-s-super-league,https://fr.whoscored.com/regions/252/tournaments/739/angleterre-women-s-super-league
