league,journey,season,date,hours,referee,stadium,team1,team2,action_minute,action_score,action_description,action_type,action_team,link
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,5,0:0,Irvin Cardona,Yellow Card,Saint-Étienne,https://fbref.com/fr/matchs/8a209a58/Saint-Etienne-Nice-1-Mars-2025-Ligue-1
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,6,0:0,Jonathan Clauss,Yellow Card,Nice,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,10,0:1,Pablo Rosario,Goal,Nice,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,32,1:1,Lucas Stassin - Passe décisive : Aimen Moueffek,Goal,Saint-Étienne,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,52,1:2,Mickael NadeBut contre son camp,Goal,Nice,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,62,1:2,Hicham Boudaoui pour Pablo Rosario,Substitute,Nice,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,62,1:2,Louis Mouton pour Aimen Moueffek,Substitute,Saint-Étienne,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,62,1:2,Dennis Appiah pour Yvann Macon,Substitute,Saint-Étienne,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,62,1:2,Sofiane Diop pour Gaëtan Laborde,Substitute,Nice,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,69,1:3,Evann Guessand - Passe décisive : Mohamed Ali Cho,Goal,Nice,
