league,journey,season,date,hours,referee,stadium,team1,team2,name,shirtnumber,nationality,position,age,minutes,goals,assists_x,pens_made,pens_att,shots,shots_on_target,cards_yellow_x,cards_red_x,touches_x,tackles_x,interceptions_x,blocks_x,xg,npxg,xg_assist_x,sca,gca,passes_completed_x,passes_x,passes_pct_x,progressive_passes_x,carries_x,progressive_carries_x,take_ons_x,take_ons_won_x,passes_completed_y,passes_y,passes_pct_y,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists_y,xg_assist_y,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_y,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses_x,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,tackles_y,tackles_won_x,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks_y,blocked_shots,blocked_passes,interceptions_y,tackles_interceptions,clearances,errors,touches_y,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_y,take_ons_won_y,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_y,carries_distance,carries_progressive_distance,progressive_carries_y,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses_y,interceptions,tackles_won_y,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,link
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Lucas Stassin,32,BEL,FW,20-093,90,1,0,0,0,4,3,0,0,41,1,0,3,0.4,0.4,0.3,3,1,21,28,75.0,2,19,1,2,1,21,28,75.0,271,30,15,16,93.8,5,7,71.4,1,2,50.0,0,0.3,0.6,1,0,2,0,2,28,24,4,0,2,0,3,0,0,0,0,0,21,0,3,1,1,0,1,0,0,0,,0,3,0,3,0,1,1,0,41,1,4,16,21,6,41,2,1,50.0,1,50.0,19,67,24,1,0,1,1,3,22,13,0,0,0,1,0,0,3,0,1,0,0,0,6,0,1,0.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/8a209a58/Saint-Etienne-Nice-1-Mars-2025-Ligue-1
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Zuriko Davitashvili,22,GEO,LW,24-014,90,0,0,0,0,1,0,0,0,62,1,0,2,0.1,0.1,0.0,4,0,40,48,83.3,2,36,4,5,2,40,48,83.3,527,90,27,29,93.1,11,12,91.7,1,4,25.0,0,0.0,0.1,2,0,1,0,2,48,44,4,2,0,0,1,1,1,0,0,0,40,0,2,1,1,0,0,1,0,1,0.0,1,2,0,2,0,1,1,0,62,0,4,17,42,4,62,5,2,40.0,3,60.0,36,160,85,4,3,2,3,0,43,7,0,0,0,1,1,0,1,0,1,0,0,0,5,0,4,0.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Irvin Cardona,7,FRA,RW,27-205,70,0,0,0,0,1,0,1,0,37,0,0,2,0.0,0.0,0.0,0,0,20,29,69.0,1,24,2,1,0,20,29,69.0,260,77,13,17,76.5,5,9,55.6,1,1,100.0,0,0.0,0.1,0,1,1,0,1,29,28,1,0,1,0,0,1,0,0,0,0,20,0,1,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,37,1,2,9,26,3,37,1,0,0.0,1,100.0,24,127,69,2,1,0,3,0,28,8,1,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,   Augustine Boakye,20,GHA,RW,24-118,20,0,0,0,0,2,0,0,0,14,0,0,0,0.3,0.3,0.1,1,0,9,10,90.0,2,11,0,1,0,9,10,90.0,108,40,4,5,80.0,4,4,100.0,0,0,,0,0.1,0.0,1,0,1,0,2,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,1,1,2,11,0,14,1,0,0.0,0,0.0,11,71,19,0,0,0,0,1,12,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Benjamin Bouchouari,6,MAR,AM,23-108,90,0,0,0,0,1,0,0,0,109,1,1,2,0.0,0.0,0.1,2,0,90,95,94.7,16,69,1,3,2,90,95,94.7,1150,387,62,64,96.9,24,24,100.0,1,2,50.0,0,0.1,0.2,2,18,2,0,16,95,92,3,2,0,0,0,1,0,0,0,0,90,0,1,1,1,0,1,0,0,2,0.0,2,2,0,2,1,2,2,0,109,2,8,66,38,0,109,3,2,66.7,1,33.3,69,361,123,1,2,0,2,1,87,1,0,0,0,0,2,0,0,1,1,0,0,0,7,0,1,0.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Aimen Moueffek,29,FRA,DM,23-326,61,0,1,0,0,2,0,0,0,53,3,1,1,0.1,0.1,0.2,2,1,36,40,90.0,2,34,0,1,1,36,40,90.0,413,33,28,29,96.6,7,8,87.5,0,1,0.0,1,0.2,0.3,1,5,0,0,2,40,38,2,1,0,0,0,1,0,0,0,0,36,0,1,3,1,0,2,1,3,5,60.0,2,1,0,1,1,4,0,0,53,0,2,26,25,5,53,1,1,100.0,0,0.0,34,143,54,0,1,0,4,1,38,4,0,0,0,1,1,0,0,1,1,0,0,0,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,   Louis Mouton,14,FRA,DM,22-271,29,0,0,0,0,0,0,0,0,29,4,0,0,0.0,0.0,0.0,3,0,17,23,73.9,4,15,1,0,0,17,23,73.9,289,73,7,9,77.8,8,11,72.7,1,1,100.0,0,0.0,0.0,0,3,0,0,4,23,23,0,0,0,0,0,0,0,0,0,0,17,0,0,4,3,0,4,0,3,3,100.0,0,0,0,0,0,4,1,0,29,1,1,20,9,0,29,0,0,,0,,15,86,46,1,1,0,1,0,18,3,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Florian Tardieu,10,FRA,DM,32-313,90,0,0,0,0,0,0,0,0,109,2,3,2,0.0,0.0,0.0,2,0,90,102,88.2,5,73,1,0,0,90,102,88.2,1304,453,50,53,94.3,33,37,89.2,3,5,60.0,0,0.0,0.1,1,13,1,0,5,102,99,3,1,0,0,2,0,2,2,0,0,90,0,1,2,1,2,0,0,2,3,66.7,1,2,0,2,3,5,1,0,109,1,19,66,24,0,109,0,0,,0,,73,279,149,1,4,0,0,0,86,0,0,0,0,0,0,0,2,3,1,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Léo Pétrot,19,FRA,LB,27-320,90,0,0,0,0,0,0,0,0,77,1,0,1,0.0,0.0,0.0,1,0,55,67,82.1,4,45,1,0,0,55,67,82.1,805,196,30,30,100.0,21,25,84.0,2,6,33.3,0,0.0,0.0,1,1,1,1,4,67,55,12,1,0,0,4,11,0,0,0,0,55,0,2,1,0,0,0,1,0,2,0.0,2,1,0,1,0,1,5,0,77,4,22,34,22,0,77,0,0,,0,,45,128,79,1,0,0,2,0,51,2,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,100.0,,,,,,,,,,,,,,,,,,,,,
Ligue 1,Journée 24,2024/2025,01/03/2025,17:00,Jérôme Brisard,Stade Geoffroy-Guichard,Saint-Étienne,Nice,Mickael Nade,3,FRA,CB,25-362,90,0,0,0,0,0,0,0,0,95,3,3,0,0.0,0.0,0.0,0,0,79,84,94.0,1,60,0,0,0,79,84,94.0,1158,449,45,46,97.8,33,34,97.1,1,3,33.3,0,0.0,0.0,0,8,0,0,1,84,81,3,3,0,0,0,0,0,0,0,0,79,0,1,3,3,3,0,0,0,1,0.0,1,0,0,0,3,6,4,0,95,10,38,56,1,0,95,0,0,,0,,60,179,115,0,0,0,0,0,74,0,0,0,0,1,2,0,0,3,3,0,0,1,7,0,0,,,,,,,,,,,,,,,,,,,,,,
