numéro,pays,ligue,année,clubs,liens
1820000,Pologne I,Liga,2024-2025,Gks Tychy Znicz Pruszkow,/matches/1820000/live/pologne-i-liga-2024-2025-gks-tychy-znicz-pruszkow
1820001,Pologne I,Liga,2024-2025,Wisla Plock Wisla Krakow,/matches/1820001/live/pologne-i-liga-2024-2025-wisla-plock-wisla-krakow
1820002,Pologne I,Liga,2024-2025,Termalica Nieciecza Arka Gdynia,/matches/1820002/live/pologne-i-liga-2024-2025-termalica-nieciecza-arka-gdynia
1820003,Pologne I,Liga,2024-2025,Kotwica Kolobrzeg Znicz Pruszkow,/matches/1820003/live/pologne-i-liga-2024-2025-kotwica-kolobrzeg-znicz-pruszkow
1820005,Pologne I,Liga,2024-2025,Miedz Legnica Wisla Krakow,/matches/1820005/live/pologne-i-liga-2024-2025-miedz-legnica-wisla-krakow
1820007,Pologne I,Liga,2024-2025,Gornik Leczna Arka Gdynia,/matches/1820007/live/pologne-i-liga-2024-2025-gornik-leczna-arka-gdynia
1820015,Pologne I,Liga,2024-2025,Pogon Siedlce Stal Stalowa Wola,/matches/1820015/live/pologne-i-liga-2024-2025-pogon-siedlce-stal-stalowa-wola
1820017,Pologne I,Liga,2024-2025,Stal Rzeszow Chrobry Glogow,/matches/1820017/live/pologne-i-liga-2024-2025-stal-rzeszow-chrobry-glogow
1820019,Pologne I,Liga,2024-2025,Stal Stalowa Wola Odra Opole,/matches/1820019/live/pologne-i-liga-2024-2025-stal-stalowa-wola-odra-opole
1820021,Pologne I,Liga,2024-2025,Gks Tychy Pogon Siedlce,/matches/1820021/live/pologne-i-liga-2024-2025-gks-tychy-pogon-siedlce
1820023,Pologne I,Liga,2024-2025,Wisla Plock Termalica Nieciecza,/matches/1820023/live/pologne-i-liga-2024-2025-wisla-plock-termalica-nieciecza
1820025,Pologne I,Liga,2024-2025,Ruch Chorzow Wisla Plock,/matches/1820025/live/pologne-i-liga-2024-2025-ruch-chorzow-wisla-plock
1820027,Pologne I,Liga,2024-2025,Termalica Nieciecza Gks Tychy,/matches/1820027/live/pologne-i-liga-2024-2025-termalica-nieciecza-gks-tychy
1820044,Pologne I,Liga,2024-2025,Ruch Chorzow Wisla Krakow,/matches/1820044/live/pologne-i-liga-2024-2025-ruch-chorzow-wisla-krakow
1820045,Pologne I,Liga,2024-2025,Wisla Krakow Znicz Pruszkow,/matches/1820045/live/pologne-i-liga-2024-2025-wisla-krakow-znicz-pruszkow
1820046,Pologne I,Liga,2024-2025,Arka Gdynia Polonia Warszawa,/matches/1820046/live/pologne-i-liga-2024-2025-arka-gdynia-polonia-warszawa
1820047,Pologne I,Liga,2024-2025,Gornik Leczna Lks Lodz,/matches/1820047/live/pologne-i-liga-2024-2025-gornik-leczna-lks-lodz
1820048,Pologne I,Liga,2024-2025,Miedz Legnica Stal Rzeszow,/matches/1820048/live/pologne-i-liga-2024-2025-miedz-legnica-stal-rzeszow
1820049,Pologne I,Liga,2024-2025,Kotwica Kolobrzeg Stal Stalowa Wola,/matches/1820049/live/pologne-i-liga-2024-2025-kotwica-kolobrzeg-stal-stalowa-wola
1820050,Pologne I,Liga,2024-2025,Warta Poznan Gks Tychy,/matches/1820050/live/pologne-i-liga-2024-2025-warta-poznan-gks-tychy
1820051,Pologne I,Liga,2024-2025,Chrobry Glogow Wisla Plock,/matches/1820051/live/pologne-i-liga-2024-2025-chrobry-glogow-wisla-plock
1820052,Pologne I,Liga,2024-2025,Odra Opole Termalica Nieciecza,/matches/1820052/live/pologne-i-liga-2024-2025-odra-opole-termalica-nieciecza
1820053,Pologne I,Liga,2024-2025,Pogon Siedlce Ruch Chorzow,/matches/1820053/live/pologne-i-liga-2024-2025-pogon-siedlce-ruch-chorzow
1820054,Pologne I,Liga,2024-2025,Pogon Siedlce Odra Opole,/matches/1820054/live/pologne-i-liga-2024-2025-pogon-siedlce-odra-opole
1820055,Pologne I,Liga,2024-2025,Termalica Nieciecza Chrobry Glogow,/matches/1820055/live/pologne-i-liga-2024-2025-termalica-nieciecza-chrobry-glogow
1820056,Pologne I,Liga,2024-2025,Wisla Plock Warta Poznan,/matches/1820056/live/pologne-i-liga-2024-2025-wisla-plock-warta-poznan
1820057,Pologne I,Liga,2024-2025,Znicz Pruszkow Arka Gdynia,/matches/1820057/live/pologne-i-liga-2024-2025-znicz-pruszkow-arka-gdynia
1820058,Pologne I,Liga,2024-2025,Polonia Warszawa Gornik Leczna,/matches/1820058/live/pologne-i-liga-2024-2025-polonia-warszawa-gornik-leczna
1820059,Pologne I,Liga,2024-2025,Lks Lodz Miedz Legnica,/matches/1820059/live/pologne-i-liga-2024-2025-lks-lodz-miedz-legnica
1820060,Pologne I,Liga,2024-2025,Stal Rzeszow Kotwica Kolobrzeg,/matches/1820060/live/pologne-i-liga-2024-2025-stal-rzeszow-kotwica-kolobrzeg
1820061,Pologne I,Liga,2024-2025,Stal Stalowa Wola Warta Poznan,/matches/1820061/live/pologne-i-liga-2024-2025-stal-stalowa-wola-warta-poznan
1820062,Pologne I,Liga,2024-2025,Gks Tychy Chrobry Glogow,/matches/1820062/live/pologne-i-liga-2024-2025-gks-tychy-chrobry-glogow
1820063,Pologne I,Liga,2024-2025,Wisla Plock Odra Opole,/matches/1820063/live/pologne-i-liga-2024-2025-wisla-plock-odra-opole
1820064,Pologne I,Liga,2024-2025,Termalica Nieciecza Pogon Siedlce,/matches/1820064/live/pologne-i-liga-2024-2025-termalica-nieciecza-pogon-siedlce
1820065,Pologne I,Liga,2024-2025,Ruch Chorzow Termalica Nieciecza,/matches/1820065/live/pologne-i-liga-2024-2025-ruch-chorzow-termalica-nieciecza
1820068,Pologne I,Liga,2024-2025,Chrobry Glogow Lks Lodz,/matches/1820068/live/pologne-i-liga-2024-2025-chrobry-glogow-lks-lodz
1820069,Pologne I,Liga,2024-2025,Warta Poznan Polonia Warszawa,/matches/1820069/live/pologne-i-liga-2024-2025-warta-poznan-polonia-warszawa
1820074,Pologne I,Liga,2024-2025,Znicz Pruszkow Miedz Legnica,/matches/1820074/live/pologne-i-liga-2024-2025-znicz-pruszkow-miedz-legnica
1820075,Pologne I,Liga,2024-2025,Odra Opole Gks Tychy,/matches/1820075/live/pologne-i-liga-2024-2025-odra-opole-gks-tychy
1820076,Pologne I,Liga,2024-2025,Chrobry Glogow Stal Stalowa Wola,/matches/1820076/live/pologne-i-liga-2024-2025-chrobry-glogow-stal-stalowa-wola
1820077,Pologne I,Liga,2024-2025,Warta Poznan Stal Rzeszow,/matches/1820077/live/pologne-i-liga-2024-2025-warta-poznan-stal-rzeszow
1820078,Pologne I,Liga,2024-2025,Kotwica Kolobrzeg Lks Lodz,/matches/1820078/live/pologne-i-liga-2024-2025-kotwica-kolobrzeg-lks-lodz
1820079,Pologne I,Liga,2024-2025,Miedz Legnica Polonia Warszawa,/matches/1820079/live/pologne-i-liga-2024-2025-miedz-legnica-polonia-warszawa
1820080,Pologne I,Liga,2024-2025,Gornik Leczna Znicz Pruszkow,/matches/1820080/live/pologne-i-liga-2024-2025-gornik-leczna-znicz-pruszkow
1820081,Pologne I,Liga,2024-2025,Arka Gdynia Wisla Krakow,/matches/1820081/live/pologne-i-liga-2024-2025-arka-gdynia-wisla-krakow
